"filename", "language", "Java Properties", "Java", "comment", "blank", "total"
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\CollectionQRCode.java", "Java", 0, 22, 0, 4, 26
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\Payment.java", "Java", 0, 35, 0, 4, 39
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\TravelPass.java", "Java", 0, 28, 1, 4, 33
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\TravelRecord.java", "Java", 0, 32, 1, 4, 37
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\UserAccount.java", "Java", 0, 22, 1, 4, 27
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\admin\AdminOperationLog.java", "Java", 0, 22, 0, 8, 30
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\admin\AdminUser.java", "Java", 0, 29, 1, 9, 39
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\admin\CreateAdminRequest.java", "Java", 0, 8, 0, 3, 11
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\admin\DiscountPolicy.java", "Java", 0, 27, 0, 8, 35
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\fintech\BankCard.java", "Java", 0, 14, 0, 3, 17
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\fintech\Bill.java", "Java", 0, 21, 0, 7, 28
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\fintech\User.java", "Java", 0, 39, 0, 11, 50
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\fintech\UserAudit.java", "Java", 0, 16, 0, 3, 19
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\fintech\UserStatus.java", "Java", 0, 7, 0, 2, 9
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\site\Gate.java", "Java", 0, 22, 0, 7, 29
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\site\GateEvent.java", "Java", 0, 28, 0, 9, 37
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\model\site\Station.java", "Java", 0, 21, 0, 6, 27
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\AssistantMessageRepository.java", "Java", 0, 7, 1, 2, 10
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\CollectionQRCodeRepository.java", "Java", 0, 5, 0, 3, 8
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\PaymentRepository.java", "Java", 0, 10, 0, 4, 14
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\TravelPassRepository.java", "Java", 0, 7, 0, 4, 11
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\TravelRecordRepository.java", "Java", 0, 7, 0, 4, 11
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\UserAccountRepository.java", "Java", 0, 14, 0, 6, 20
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\admin\AdminOperationLogRepository.java", "Java", 0, 8, 0, 3, 11
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\admin\AdminUserRepository.java", "Java", 0, 8, 0, 3, 11
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\admin\DiscountPolicyRepository.java", "Java", 0, 8, 0, 3, 11
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\fintech\BankCardRepository.java", "Java", 0, 8, 0, 3, 11
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\fintech\BillRepository.java", "Java", 0, 11, 0, 3, 14
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\fintech\UserAuditRepository.java", "Java", 0, 7, 0, 3, 10
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\fintech\UserRepository.java", "Java", 0, 18, 0, 7, 25
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\site\GateEventRepository.java", "Java", 0, 12, 0, 3, 15
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\site\GateRepository.java", "Java", 0, 12, 0, 3, 15
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\repository\site\StationRepository.java", "Java", 0, 11, 0, 3, 14
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\security\fintech\CustomUserDetailsService.java", "Java", 0, 31, 0, 6, 37
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\security\fintech\JwtAuthenticationFilter.java", "Java", 0, 43, 0, 7, 50
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\security\fintech\JwtUtil.java", "Java", 0, 38, 0, 9, 47
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\CollectionService.java", "Java", 0, 36, 0, 8, 44
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\PaymentService.java", "Java", 0, 195, 0, 19, 214
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\QrService.java", "Java", 0, 70, 0, 23, 93
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\SmartAssistantService.java", "Java", 0, 151, 1, 35, 187
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\TravelService.java", "Java", 0, 138, 1, 13, 152
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\admin\AdminAuthService.java", "Java", 0, 54, 0, 12, 66
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\admin\AdminOperationLogService.java", "Java", 0, 21, 0, 8, 29
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\admin\AdminOperationLogger.java", "Java", 0, 60, 0, 9, 69
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\admin\DiscountPolicyService.java", "Java", 0, 104, 0, 15, 119
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\admin\UserManagementService.java", "Java", 0, 84, 1, 13, 98
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\fintech\AssetService.java", "Java", 0, 76, 0, 19, 95
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\fintech\AuthService.java", "Java", 0, 62, 0, 11, 73
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\fintech\BillService.java", "Java", 0, 77, 0, 17, 94
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\site\GateEventService.java", "Java", 0, 155, 10, 33, 198
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\java\com\example\alipay\service\site\StationManagementService.java", "Java", 0, 128, 2, 21, 151
"c:\Users\87641\Downloads\simple-alipay-backend\src\main\resources\application.properties", "Java Properties", 18, 0, 12, 7, 37
"c:\Users\87641\Downloads\simple-alipay-backend\src\test\java\com\example\alipay\service\PaymentServiceTest.java", "Java", 0, 108, 0, 20, 128
"Total", "-", 18, 3324, 42, 654, 4038
